timestamp,day_of_week,day_hour,dew_temperature_ma_24H,dew_temperature,air_temperature_ma_24H,air_temperature,precip_depth_1_hr_ma_24H,precip_depth_1_hr_ma_4H,meter_reading
2016-01-02 00:00:00,5,0,-10.120833333333335,-8.3,-6.020833333333333,-3.3,-0.20833333333333334,0.0,0.0
2016-01-02 01:00:00,5,1,-9.97916666666667,-8.3,-5.8374999999999995,-3.9,-0.16666666666666666,0.0,0.0
2016-01-02 02:00:00,5,2,-9.887500000000003,-8.9,-5.720833333333332,-5.0,-0.125,0.0,0.0
2016-01-02 03:00:00,5,3,-9.81666666666667,-9.4,-5.6291666666666655,-5.6,-0.08333333333333333,0.0,0.0
2016-01-02 04:00:00,5,4,-9.766666666666671,-9.4,-5.583333333333332,-6.1,-0.08333333333333333,0.0,0.0
2016-01-02 05:00:00,5,5,-9.74166666666667,-10.0,-5.583333333333332,-7.2,-0.08333333333333333,0.0,0.0
2016-01-02 06:00:00,5,6,-9.71666666666667,-10.0,-5.583333333333332,-7.2,-0.08333333333333333,0.0,0.0
2016-01-02 07:00:00,5,7,-9.74166666666667,-10.6,-5.629166666666666,-7.8,-0.041666666666666664,0.0,0.0
2016-01-02 08:00:00,5,8,-9.812500000000004,-11.1,-5.720833333333334,-8.9,-0.041666666666666664,0.0,0.0
2016-01-02 09:00:00,5,9,-9.883333333333336,-11.1,-5.812500000000001,-8.9,0.0,0.0,0.0
2016-01-02 10:00:00,5,10,-9.858333333333336,-11.1,-5.858333333333334,-9.4,0.0,0.0,0.0
2016-01-02 11:00:00,5,11,-9.858333333333336,-11.7,-5.904166666666668,-9.4,0.0,0.0,0.0
2016-01-02 12:00:00,5,12,-9.837500000000004,-11.7,-5.95,-10.0,0.0,0.0,0.0
2016-01-02 13:00:00,5,13,-9.837500000000004,-11.7,-5.929166666666667,-8.9,0.0,0.0,0.0
2016-01-02 14:00:00,5,14,-9.812500000000004,-11.1,-5.929166666666667,-8.9,0.0,0.0,0.0
2016-01-02 15:00:00,5,15,-9.812500000000004,-11.1,-5.929166666666667,-8.3,0.0,0.0,0.0
2016-01-02 16:00:00,5,16,-9.833333333333337,-11.1,-5.929166666666667,-6.7,0.0,0.0,0.0
2016-01-02 17:00:00,5,17,-9.858333333333336,-10.6,-5.929166666666667,-5.6,0.0,0.0,0.0
2016-01-02 18:00:00,5,18,-9.87916666666667,-9.4,-5.929166666666667,-2.8,0.0,0.0,0.0
2016-01-02 19:00:00,5,19,-9.90416666666667,-8.9,-5.929166666666667,-1.7,0.0,0.0,0.0
2016-01-02 20:00:00,5,20,-9.925000000000002,-8.3,-5.929166666666667,-1.1,0.0,0.0,0.0
2016-01-02 21:00:00,5,21,-9.945833333333336,-8.3,-5.908333333333334,-0.6,0.0,0.0,0.0
2016-01-02 22:00:00,5,22,-9.945833333333336,-8.3,-5.862500000000001,-0.6,0.0,0.0,0.0
2016-01-02 23:00:00,5,23,-9.945833333333336,-8.3,-5.8374999999999995,-2.2,0.0,0.0,0.0
2016-01-03 00:00:00,6,0,-9.945833333333336,-8.3,-5.816666666666666,-2.8,0.0,0.0,0.0
2016-01-03 01:00:00,6,1,-9.970833333333337,-8.9,-5.791666666666667,-3.3,0.0,0.0,0.0
2016-01-03 02:00:00,6,2,-9.970833333333337,-8.9,-5.766666666666667,-4.4,0.0,0.0,0.0
2016-01-03 03:00:00,6,3,-9.925000000000002,-8.3,-5.670833333333334,-3.3,0.0,0.0,0.0
2016-01-03 04:00:00,6,4,-9.87916666666667,-8.3,-5.579166666666668,-3.9,0.0,0.0,0.0
2016-01-03 05:00:00,6,5,-9.808333333333337,-8.3,-5.462500000000002,-4.4,0.0,0.0,0.0
2016-01-03 06:00:00,6,6,-9.71666666666667,-7.8,-5.325000000000002,-3.9,0.0,0.0,0.0
2016-01-03 07:00:00,6,7,-9.575000000000005,-7.2,-5.137500000000002,-3.3,0.0,0.0,0.0
2016-01-03 08:00:00,6,8,-9.412500000000003,-7.2,-4.8833333333333355,-2.8,0.0,0.0,0.0
2016-01-03 09:00:00,6,9,-9.22916666666667,-6.7,-4.629166666666668,-2.8,0.0,0.0,0.0
2016-01-03 10:00:00,6,10,-9.045833333333336,-6.7,-4.354166666666668,-2.8,0.0,0.0,0.0
2016-01-03 11:00:00,6,11,-8.837500000000004,-6.7,-4.1000000000000005,-3.3,0.0,0.0,0.0
2016-01-03 12:00:00,6,12,-8.650000000000004,-7.2,-3.8000000000000007,-2.8,0.0,0.0,0.0
2016-01-03 13:00:00,6,13,-8.44166666666667,-6.7,-3.545833333333334,-2.8,0.0,0.0,0.0
2016-01-03 14:00:00,6,14,-8.27916666666667,-7.2,-3.2916666666666665,-2.8,0.0,0.0,0.0
2016-01-03 15:00:00,6,15,-8.095833333333337,-6.7,-3.0625,-2.8,0.0,0.0,0.0
2016-01-03 16:00:00,6,16,-7.958333333333337,-7.8,-2.9,-2.8,0.0,0.0,0.0
2016-01-03 17:00:00,6,17,-7.81666666666667,-7.2,-2.7583333333333333,-2.2,0.0,0.0,0.0
2016-01-03 18:00:00,6,18,-7.7500000000000036,-7.8,-2.733333333333334,-2.2,0.0,0.0,0.0
2016-01-03 19:00:00,6,19,-7.70416666666667,-7.8,-2.754166666666667,-2.2,0.0,0.0,0.0
2016-01-03 20:00:00,6,20,-7.683333333333337,-7.8,-2.8250000000000006,-2.8,0.0,0.0,0.0
2016-01-03 21:00:00,6,21,-7.662500000000004,-7.8,-2.9166666666666674,-2.8,0.0,0.0,0.0
2016-01-03 22:00:00,6,22,-7.61666666666667,-7.2,-2.9833333333333343,-2.2,0.0,0.0,0.0
2016-01-03 23:00:00,6,23,-7.595833333333336,-7.8,-3.008333333333334,-2.8,0.0,0.0,0.0
2016-01-04 00:00:00,0,0,-7.575000000000003,-7.8,-3.008333333333334,-2.8,0.0,0.0,0.0
2016-01-04 01:00:00,0,1,-7.5291666666666694,-7.8,-3.0333333333333345,-3.9,0.0,0.0,0.0
2016-01-04 02:00:00,0,2,-7.483333333333337,-7.8,-3.058333333333334,-5.0,0.0,0.0,0.0
2016-01-04 03:00:00,0,3,-7.462500000000003,-7.8,-3.1291666666666678,-5.0,0.0,0.0,0.0
2016-01-04 04:00:00,0,4,-7.487500000000003,-8.9,-3.2208333333333337,-6.1,0.0,0.0,0.0
2016-01-04 05:00:00,0,5,-7.512500000000003,-8.9,-3.2916666666666665,-6.1,0.0,0.0,0.0
2016-01-04 06:00:00,0,6,-7.579166666666669,-9.4,-3.408333333333333,-6.7,0.0,0.0,0.0
2016-01-04 07:00:00,0,7,-7.670833333333337,-9.4,-3.5708333333333333,-7.2,0.0,0.0,0.0
2016-01-04 08:00:00,0,8,-7.787500000000004,-10.0,-3.779166666666667,-7.8,0.0,0.0,0.0
2016-01-04 09:00:00,0,9,-7.925000000000004,-10.0,-3.9875000000000003,-7.8,0.0,0.0,0.0
2016-01-04 10:00:00,0,10,-8.087500000000004,-10.6,-4.241666666666667,-8.9,0.0,0.0,0.0
2016-01-04 11:00:00,0,11,-8.295833333333338,-11.7,-4.520833333333334,-10.0,0.0,0.0,0.0
2016-01-04 12:00:00,0,12,-8.529166666666672,-12.8,-4.866666666666667,-11.1,0.0,0.0,0.0
